RANK,NAME,BIRTH_YEAR,MIDLIFE_YEAR,DEATH_YEAR,NATIONALITY,IMPORTANCE,PERIOD,WEIGHT,NUMBER_COMPOSITIONS,ID,ALPHABETICAL_RANK,SHORT_NAME_ACCENTS,Period Name,Period_Agg_Name,Period_Agg,PERIOD_0_1,PERIOD_AGG_0_1,PERIOD_AGG_Colour,NAME_no_white_space,Single_NATIONALITY,Agg_Nationality,Agg_Nationality_Colour,Unique_Style,Unique_Style_colour,Sex_Race
136, Henze,1926,1969,2012,German-Italian,4,10,1.935115855,4,293,221,Henze,Modern,Modern,5,1,1,blue,Henze,German,German,yellowgreen,Expressionist,magenta,deepskyblue
296, Argento,1927,1966,2020,American,0,10,1.497135972,0,94,15,Argento,Modern,Modern,5,1,1,blue,Argento,American,American,r,Neoromantic,springgreen,deepskyblue
268, Rautavaara,1928,1972,2016,Finnish,0,10,1.547196278,1,448,393,Rautavaara,Modern,Modern,5,1,1,blue,Rautavaara,Finnish,North_European,deepskyblue,Neoromantic,springgreen,deepskyblue
368, Musgrave,1928,1967,2020,Scottish-American,0,10,1.392941119,0,400,342,Musgrave,Modern,Modern,5,1,1,blue,Musgrave,American,American,r,Serial,pink,fuchsia
106, Stockhausen,1928,1968,2007,German,3,10,2.099868416,5,518,470,Stockhausen,Modern,Modern,5,1,1,blue,Stockhausen,German,German,yellowgreen,Avant-garde,saddlebrown,deepskyblue
485, Druckman,1928,1962,1996,American,0,10,1.271033546,0,214,136,Druckman,Modern,Modern,5,1,1,blue,Druckman,American,American,r,Serial,pink,deepskyblue
312, Adler,1928,1967,2020,German-American,0,10,1.471262336,0,82,3,Adler,Modern,Modern,5,1,1,blue,Adler,American,American,r,Eclectic,gold,deepskyblue
471, Leighton,1929,1959,1988,British,0,10,1.283451967,0,349,286,Leighton,Modern,Modern,5,1,1,blue,Leighton,British,British,hotpink,Neoclassical,forestgreen,deepskyblue
273, Sculthorpe,1929,1972,2014,Australian,0,10,1.53776192,1,498,448,Sculthorpe,Modern,Modern,5,1,1,blue,Sculthorpe,Australian,Other_Nationality,teal,Eclectic,gold,deepskyblue
163, Crumb,1929,1968,2020,American,2,10,1.823218359,5,197,118,Crumb,Modern,Modern,5,1,1,blue,Crumb,American,American,r,Eclectic,gold,deepskyblue
478, Amram,1930,1969,2020,American,0,10,1.277182387,0,90,11,Amram,Modern,Modern,5,1,1,red,Amram,American,American,r,Eclectic,gold,deepskyblue
126, Takemitsu,1930,1963,1996,Japanese,3,10,1.984251315,4,533,485,Takemitsu,Modern,Modern,5,1,1,red,Takemitsu,Japanese,Other_Nationality,teal,Eclectic,gold,deepskyblue
259, Gubaidulina,1931,1970,2020,Russian,0,10,1.564779559,2,276,204,Gubaidulina,Modern,Modern,5,1,1,red,Gubaidulina,Russian,Russian,c,Experimentalist,sandybrown,fuchsia
322, Kagel,1931,1970,2008,Argentinian,0,10,1.455967441,0,321,253,Kagel,Modern,Modern,5,1,1,red,Kagel,Argentinian,South_American,gold,Avant-garde,saddlebrown,deepskyblue
325, Norgard,1932,1971,2020,Danish,0,10,1.451501255,0,406,348,Nørgård,Modern,Modern,5,1,1,red,Norgard,Danish,North_European,deepskyblue,Neoromantic,springgreen,deepskyblue
438, Oliveros,1932,1974,2016,American,0,10,1.314767947,0,412,354,Oliveros,Modern,Modern,5,1,1,red,Oliveros,American,American,r,Experimentalist,sandybrown,fuchsia
285, Shchedrin,1932,1971,2020,Russian,0,10,1.516023853,1,501,452,Shchedrin,Modern,Modern,5,1,1,red,Shchedrin,Russian,Russian,c,Neoromantic,springgreen,deepskyblue
147, Penderecki,1933,1972,2020,Polish,2,10,1.886273125,6,422,367,Penderecki,Modern,Modern,5,1,1,red,Penderecki,Polish,Central_European,darkorange,Avant-garde,saddlebrown,deepskyblue
287, Gorecki,1933,1972,2010,Polish,0,10,1.512518583,3,264,191,Górecki,Modern,Modern,5,1,1,red,Gorecki,Polish,Central_European,darkorange,Avant-garde,saddlebrown,deepskyblue
364, Schafer,1933,1972,2020,Canadian,0,10,1.397997211,0,481,430,Schafer,Modern,Modern,5,1,1,red,Schafer,Canadian,Other_Nationality,teal,Experimentalist,sandybrown,deepskyblue
481, Wolff,1934,1973,2020,French-American,0,10,1.274532624,0,579,537,Wolff,Modern,Modern,5,1,1,red,Wolff,American,American,r,Avant-garde,saddlebrown,deepskyblue
463, Davidovsky,1934,1973,2020,Argentinian-American,0,10,1.290770454,1,203,124,Davidovsky,Modern,Modern,5,1,1,red,Davidovsky,American,American,r,Serial,pink,deepskyblue
244, Birtwistle,1934,1973,2020,British,0,10,1.595958635,0,127,44,Birtwistle,Modern,Modern,5,1,1,red,Birtwistle,British,British,hotpink,Serial,pink,deepskyblue
144, Schnittke,1934,1966,1998,Russian,3,10,1.89910531,9,487,437,Schnittke,Modern,Modern,5,1,1,red,Schnittke,Russian,Russian,c,Eclectic,gold,deepskyblue
178, Davies,1934,1975,2016,British,4,10,1.771097615,5,204,125,Davies,Modern,Modern,5,1,1,red,Davies,British,British,hotpink,Serial,pink,deepskyblue
387, Riley,1935,1974,2020,American,0,10,1.369882969,2,459,404,Riley,Modern,Modern,5,1,1,red,Riley,American,American,r,Minimalist,cyan,deepskyblue
117, Part,1935,1974,2020,Estonian,3,10,2.033063825,7,420,363,Pärt,Modern,Modern,5,1,1,red,Part,Estonian,North_European,deepskyblue,Minimalist,cyan,deepskyblue
301, Schickele,1935,1974,2020,American,0,10,1.488855183,0,484,434,Schickele,Modern,Modern,5,1,1,red,Schickele,American,American,r,Vernacularist,blueviolet,deepskyblue
420, Sallinen,1935,1974,2020,Finnish,0,10,1.333201672,1,473,422,Sallinen,Modern,Modern,5,1,1,red,Sallinen,Finnish,North_European,deepskyblue,Neoromantic,springgreen,deepskyblue
253," Bennett, RR",1936,1974,2012,British,0,10,1.576957322,0,117,34,"Bennett, RR",Modern,Modern,5,1,1,red,"Bennett, RR",British,British,hotpink,Serial,pink,deepskyblue
173, Reich,1936,1975,2020,American,2,10,1.78780707,5,451,396,Reich,Modern,Modern,5,1,1,red,Reich,American,American,r,Minimalist,cyan,deepskyblue
152, Glass,1937,1976,2020,American,3,10,1.865633908,5,257,184,Glass,Modern,Modern,5,1,1,red,Glass,American,American,r,Minimalist,cyan,deepskyblue
315, Wuorinen,1938,1977,2020,American,0,10,1.466606412,0,581,540,Wuorinen,Modern,Modern,5,1,1,red,Wuorinen,American,American,r,Serial,pink,deepskyblue
230, Corigliano,1938,1977,2020,American,0,10,1.627436324,3,191,112,Corigliano,Modern,Modern,5,1,1,red,Corigliano,American,American,r,Neoromantic,springgreen,deepskyblue
223, Harbison,1938,1977,2020,American,0,10,1.644141383,0,283,211,Harbison,Modern,Modern,5,1,1,red,Harbison,American,American,r,Neoclassical,forestgreen,deepskyblue
398, Tower,1938,1977,2020,American,0,10,1.357208808,2,553,506,Tower,Modern,Modern,5,1,1,red,Tower,American,American,r,Serial,pink,fuchsia
183, Bolcom,1938,1977,2020,American,3,10,1.754995837,0,139,56,Bolcom,Modern,Modern,5,1,1,red,Bolcom,American,American,r,Eclectic,gold,deepskyblue
281, Brouwer,1939,1978,2020,Cuban,0,10,1.523133096,3,150,67,Brouwer,Modern,Modern,5,1,1,red,Brouwer,Cuban,South_American,gold,Eclectic,gold,green
360, Andriessen,1939,1978,2020,Dutch,0,10,1.403127522,0,92,13,Andriessen,Modern,Modern,5,1,1,red,Andriessen,Dutch,Other_Nationality,teal,Minimalist,cyan,deepskyblue
455, Holliger,1939,1978,2020,Swiss,0,10,1.298258775,0,298,226,Holliger,Modern,Modern,5,1,1,red,Holliger,Swiss,Other_Nationality,teal,Avant-garde,saddlebrown,deepskyblue
389, Zwilich,1939,1978,2020,American,0,10,1.367543283,0,585,545,Zwilich,Modern,Modern,5,1,1,red,Zwilich,American,American,r,Serial,pink,fuchsia
480, Monk,1942,1981,2020,American,0,10,1.275413434,0,390,331,Monk,Modern,Modern,5,1,1,red,Monk,American,American,r,Experimentalist,sandybrown,fuchsia
311, Nyman,1944,1983,2022,British,0,10,1.47282751,2,408,350,Nyman,Modern,Modern,5,1,1,red,Nyman,British,British,hotpink,Minimalist,cyan,deepskyblue
200, Tavener,1944,1979,2013,British,3,10,1.704313733,3,540,492,Tavener,Modern,Modern,5,1,1,red,Tavener,British,British,hotpink,Minimalist,cyan,deepskyblue
181, Rutter,1945,1984,2023,British,3,10,1.761366113,4,470,418,Rutter,Modern,Modern,5,1,1,red,Rutter,British,British,hotpink,Vernacularist,blueviolet,deepskyblue
191, Adams,1947,1986,2025,American,2,10,1.730404212,6,81,2,Adams,Modern,Modern,5,1,1,red,Adams,American,American,r,Minimalist,cyan,deepskyblue
309, Larsen,1950,1989,2028,American,0,10,1.475977953,0,340,277,Larsen,Modern,Modern,5,1,1,red,Larsen,American,American,r,Vernacularist,blueviolet,fuchsia
264, Rihm,1952,1991,2030,German,0,10,1.554913095,0,458,403,Rihm,Modern,Modern,5,1,1,red,Rihm,German,German,yellowgreen,Neoromantic,springgreen,deepskyblue
454, Tan,1957,1996,2035,Chinese-American,0,10,1.299207102,1,535,487,Tan,Modern,Modern,5,1,1,red,Tan,Chinese,Other_Nationality,teal,Experimentalist,sandybrown,deepskyblue
